year,tuition_cpi_index,cpi_all_items_index,tuition_yoy_pct,cpi_yoy_pct
2000,332.7,174,,
2001,352.2,176.7,5.86,1.55
2002,374,179.9,6.19,1.81
2003,401.7,184,7.41,2.28
2004,428.9,190.3,6.77,3.42
2005,455.3,196.8,6.16,3.42
2006,484,201.8,6.3,2.54
2007,510,207.3,5.37,2.73
2008,538.3,215.3,5.55,3.86
2009,562.6,215.9,4.51,0.28
2010,584.8,219.2,3.95,1.53
2011,611.6,225.7,4.58,2.97
2012,633.5,229.6,3.58,1.73
2013,655.1,233,3.41,1.48
2014,676,234.8,3.19,0.77
2015,700.7,236.5,3.65,0.72
2016,718.8,241.4,2.58,2.07
2017,734.6,246.5,2.2,2.11
2018,754.4,251.2,2.7,1.91
2019,771.5,256.9,2.27,2.27
2020,782.4,260.5,1.41,1.4
2021,798.8,278.8,2.1,7.02
2022,824.9,296.8,3.27,6.46
2023,846.9,303.1,2.67,2.12
